"date","open","high","low","close","volume","exchange","M20","M5"
2022-02-27,0.7514,0.767725,0.7041,0.722025,21816193.058475,"XRP/USD",0.78321625,0.727395
2022-02-28,0.722025,0.7937,0.708025,0.78175,35510852.591175,"XRP/USD",0.77844375,0.744385
2022-03-01,0.78175,0.80395,0.757925,0.784375,38167407.15395,"XRP/USD",0.7741275,0.761975
2022-03-02,0.784375,0.785,0.75675,0.769475,24618511.42435,"XRP/USD",0.7713325,0.761805
2022-03-03,0.769475,0.78935,0.733875,0.7515,29705528.330025,"XRP/USD",0.77093,0.761825
2022-03-04,0.7515,0.75395,0.694275,0.7127,37398078.34705,"XRP/USD",0.7654225,0.75996
2022-03-05,0.7127,0.7689,0.705,0.7543,22692647.25335,"XRP/USD",0.76284125,0.75447
2022-03-06,0.7543,0.759775,0.721575,0.7252,15848198.550075,"XRP/USD",0.75904125,0.742635
2022-03-07,0.7252,0.75425,0.70205,0.71995,41360660.934125,"XRP/USD",0.75243125,0.73273
2022-03-08,0.71995,0.73135,0.713375,0.721,28837390.20775,"XRP/USD",0.74662,0.72663
2022-03-09,0.721,0.77635,0.719925,0.766325,34626090.804625,"XRP/USD",0.74653625,0.737355
2022-03-10,0.766325,0.77945,0.7223,0.73635,37706884.292525,"XRP/USD",0.744125,0.733765
2022-03-11,0.73635,0.813875,0.72505,0.802975,47109243.47235,"XRP/USD",0.74317625,0.74932
2022-03-12,0.802975,0.849225,0.7785,0.785575,36722668.83345,"XRP/USD",0.74360875,0.762445
2022-03-13,0.785575,0.80485,0.751225,0.76005,18529050.088075,"XRP/USD",0.7465,0.770255
2022-03-14,0.76005,0.778075,0.745025,0.77475,32330922.406525,"XRP/USD",0.7491625,0.77194
2022-03-15,0.77475,0.776825,0.74085,0.7661,30278961.60315,"XRP/USD",0.7526275,0.77789
2022-03-16,0.7661,0.794675,0.757125,0.79225,37794264.510525,"XRP/USD",0.75741875,0.775745
2022-03-17,0.79225,0.802225,0.783225,0.793925,28092300.185875,"XRP/USD",0.75859875,0.777415
2022-03-18,0.7939,0.800925,0.7765,0.7969,40513131.72135,"XRP/USD",0.76087375,0.784785
2022-03-19,0.7969,0.827075,0.79205,0.8199,25078694.072975,"XRP/USD",0.7657675,0.793815
2022-03-20,0.8199,0.82245,0.795725,0.8056,17243564.590475,"XRP/USD",0.76696,0.801715
2022-03-21,0.8056,0.854875,0.787575,0.83765,38876002.1245,"XRP/USD",0.76962375,0.810795
2022-03-22,0.83765,0.8653,0.827475,0.837,37526172.99555,"XRP/USD",0.773,0.81941
2022-03-23,0.837,0.84625,0.81675,0.8379,30808935.464125,"XRP/USD",0.77732,0.82761
2022-03-24,0.8379,0.85025,0.8272,0.8433,33630892.13135,"XRP/USD",0.78385,0.83229
2022-03-25,0.8433,0.8464,0.819,0.82415,35131562.61975,"XRP/USD",0.7873425,0.836
2022-03-26,0.82415,0.835025,0.8208,0.833025,10418727.9711,"XRP/USD",0.79273375,0.835075
2022-03-27,0.833025,0.8583,0.82835,0.85815,16659969.82645,"XRP/USD",0.79964375,0.839305
2022-03-28,0.858175,0.912425,0.85255,0.864125,50564776.61635,"XRP/USD",0.8068,0.84455
2022-03-29,0.864125,0.885575,0.843375,0.8579,44327028.638825,"XRP/USD",0.81137875,0.84747
2022-03-30,0.8579,0.871575,0.845875,0.861775,28726447.8715,"XRP/USD",0.81765,0.854995
2022-03-31,0.861775,0.8734,0.78,0.814875,48617213.63565,"XRP/USD",0.818245,0.851365
2022-04-01,0.814875,0.834375,0.807275,0.827825,63114619.926975,"XRP/USD",0.8203575,0.8453
2022-04-02,0.827875,0.8502,0.818,0.824125,18297192.64275,"XRP/USD",0.82356125,0.8373
2022-04-03,0.824125,0.85335,0.814575,0.84315,13239616.24145,"XRP/USD",0.82698125,0.83435
2022-04-04,0.84315,0.843575,0.804375,0.82645,28143669.227075,"XRP/USD",0.82999875,0.827285
2022-04-05,0.82645,0.83645,0.81485,0.81665,27906963.999125,"XRP/USD",0.83121875,0.82764
2022-04-06,0.81665,0.8185,0.755775,0.7594,42154327.122275,"XRP/USD",0.8294925,0.813955
2022-04-07,0.7594,0.7912,0.752525,0.78735,23137055.5864,"XRP/USD",0.829015,0.8066
2022-04-08,0.78735,0.794075,0.74625,0.754875,34589895.83405,"XRP/USD",0.82576375,0.788945
2022-04-09,0.754875,0.7666,0.75345,0.7626,12797273.695125,"XRP/USD",0.82361375,0.776175
2022-04-10,0.7626,0.773175,0.7518,0.75415,10896213.0796,"XRP/USD",0.81943875,0.763675
2022-04-11,0.75415,0.7561,0.6798,0.694825,40692927.678275,"XRP/USD",0.81233,0.75076
2022-04-12,0.694825,0.726375,0.69225,0.71495,38321609.197125,"XRP/USD",0.8061825,0.73628
2022-04-13,0.71495,0.725,0.70155,0.723025,31593141.4485,"XRP/USD",0.80016875,0.72991
2022-04-14,0.723025,0.741175,0.708175,0.725925,23171202.979525,"XRP/USD",0.7952575,0.722575
2022-04-15,0.725925,0.797675,0.7259,0.7859,41388339.930375,"XRP/USD",0.79290125,0.728925
2022-04-16,0.7859,0.8,0.765825,0.780775,16179078.914025,"XRP/USD",0.7890325,0.746115
2022-04-17,0.780775,0.786,0.7478,0.751975,15740138.655825,"XRP/USD",0.783425,0.75352
2022-04-18,0.751975,0.769875,0.727,0.769875,28669039.237775,"XRP/USD",0.77902375,0.76289
2022-04-19,0.769875,0.781975,0.7588,0.7748,22149701.041,"XRP/USD",0.774675,0.772665
2022-04-20,0.7748,0.775275,0.742025,0.751925,27968811.500925,"XRP/USD",0.7715275,0.76587
2022-04-21,0.751925,0.76875,0.717125,0.73255,30665422.68665,"XRP/USD",0.76676375,0.756225
2022-04-22,0.73255,0.738575,0.71385,0.717675,24969149.637675,"XRP/USD",0.76144125,0.749365
2022-04-23,0.717675,0.72705,0.70215,0.7054,12167196.97455,"XRP/USD",0.75455375,0.73647
2022-04-24,0.7054,0.7119,0.694175,0.698,11644785.674325,"XRP/USD",0.74813125,0.72111
2022-04-25,0.698,0.699825,0.645125,0.69325,32750488.601825,"XRP/USD",0.74196125,0.709375
